"Step","Group: 70M-3072step_fem77e0a_jg352zwu - test/lm_loss","Group: 70M-3072step_fem77e0a_jg352zwu - test/lm_loss__MIN","Group: 70M-3072step_fem77e0a_jg352zwu - test/lm_loss__MAX","Group: 70M-2048step_qqmjrzjs_b15vprrd - test/lm_loss","Group: 70M-2048step_qqmjrzjs_b15vprrd - test/lm_loss__MIN","Group: 70M-2048step_qqmjrzjs_b15vprrd - test/lm_loss__MAX","Group: 70M-1536step_z899sain_17r4gmis - test/lm_loss","Group: 70M-1536step_z899sain_17r4gmis - test/lm_loss__MIN","Group: 70M-1536step_z899sain_17r4gmis - test/lm_loss__MAX","Group: 70M-1024step_yj0z2ef2_hd3ofptc - test/lm_loss","Group: 70M-1024step_yj0z2ef2_hd3ofptc - test/lm_loss__MIN","Group: 70M-1024step_yj0z2ef2_hd3ofptc - test/lm_loss__MAX","Group: 160M-4096step_ecdyxn8t_paaof2zb - test/lm_loss","Group: 160M-4096step_ecdyxn8t_paaof2zb - test/lm_loss__MIN","Group: 160M-4096step_ecdyxn8t_paaof2zb - test/lm_loss__MAX","Group: 160M-3072step_6bm0g0w1_shy84o2c - test/lm_loss","Group: 160M-3072step_6bm0g0w1_shy84o2c - test/lm_loss__MIN","Group: 160M-3072step_6bm0g0w1_shy84o2c - test/lm_loss__MAX","Group: 160M-2048step_mu34wmap_1mqr9ewm - test/lm_loss","Group: 160M-2048step_mu34wmap_1mqr9ewm - test/lm_loss__MIN","Group: 160M-2048step_mu34wmap_1mqr9ewm - test/lm_loss__MAX","Group: 160M-1536step_n7cc8xlf_ox6vwqgr - test/lm_loss","Group: 160M-1536step_n7cc8xlf_ox6vwqgr - test/lm_loss__MIN","Group: 160M-1536step_n7cc8xlf_ox6vwqgr - test/lm_loss__MAX","Group: 410M-6144step_588eptc3_18nxm7f7 - test/lm_loss","Group: 410M-6144step_588eptc3_18nxm7f7 - test/lm_loss__MIN","Group: 410M-6144step_588eptc3_18nxm7f7 - test/lm_loss__MAX","Group: 1-4B-4096step_a664o945_j1gr31ua - test/lm_loss","Group: 1-4B-4096step_a664o945_j1gr31ua - test/lm_loss__MIN","Group: 1-4B-4096step_a664o945_j1gr31ua - test/lm_loss__MAX","Group: 410M-2048step_h7c2dpwj_61vnbs5c - test/lm_loss","Group: 410M-2048step_h7c2dpwj_61vnbs5c - test/lm_loss__MIN","Group: 410M-2048step_h7c2dpwj_61vnbs5c - test/lm_loss__MAX","Group: 410M-3072step_xp46ilgb_mu65fqv0 - test/lm_loss","Group: 410M-3072step_xp46ilgb_mu65fqv0 - test/lm_loss__MIN","Group: 410M-3072step_xp46ilgb_mu65fqv0 - test/lm_loss__MAX","Group: 410M-4096step_i9h4quwa_062va8j0 - test/lm_loss","Group: 410M-4096step_i9h4quwa_062va8j0 - test/lm_loss__MIN","Group: 410M-4096step_i9h4quwa_062va8j0 - test/lm_loss__MAX"
"1024","","","","","","","","","","2.106158971786499","2.106158971786499","2.106158971786499","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","","","","","","2.0132057666778564","2.0132057666778564","2.0132057666778564","","","","","","","","","","","","","1.8795303106307983","1.8795303106307983","1.8795303106307983","","","","","","","","","","","","","","",""
"2048","","","","1.9530583620071411","1.9530583620071411","1.9530583620071411","","","","","","","","","","","","","1.8067480325698853","1.8067480325698853","1.8067480325698853","","","","","","","","","","1.7620457410812378","1.7620457410812378","1.7620457410812378","","","","","",""
"3072","1.8852198123931885","1.8852198123931885","1.8852198123931885","","","","","","","","","","","","","1.7305755615234375","1.7305755615234375","1.7305755615234375","","","","","","","","","","","","","","","","1.6689311265945435","1.6689311265945435","1.6689311265945435","","",""
"4096","","","","","","","","","","","","","1.6863418817520142","1.6863418817520142","1.6863418817520142","","","","","","","","","","","","","1.5263808965682983","1.5263808965682983","1.5263808965682983","","","","","","","1.6168882846832275","1.6168882846832275","1.6168882846832275"
"6144","","","","","","","","","","","","","","","","","","","","","","","","","1.552321434020996","1.552321434020996","1.552321434020996","","","","","","","","","","","",""
