"Step","Group: 70M_3072step_sbl5czur_3vmkrt1h - test/lm_loss","Group: 70M_3072step_sbl5czur_3vmkrt1h - test/lm_loss__MIN","Group: 70M_3072step_sbl5czur_3vmkrt1h - test/lm_loss__MAX","Group: 70M_2048step_4lgdorug_ohyg6nl2 - test/lm_loss","Group: 70M_2048step_4lgdorug_ohyg6nl2 - test/lm_loss__MIN","Group: 70M_2048step_4lgdorug_ohyg6nl2 - test/lm_loss__MAX","Group: 70M_1536step_ai2xctfo_l1dbp0yv - test/lm_loss","Group: 70M_1536step_ai2xctfo_l1dbp0yv - test/lm_loss__MIN","Group: 70M_1536step_ai2xctfo_l1dbp0yv - test/lm_loss__MAX","Group: 70M_1024step_zxdkoqiq_45qne23j - test/lm_loss","Group: 70M_1024step_zxdkoqiq_45qne23j - test/lm_loss__MIN","Group: 70M_1024step_zxdkoqiq_45qne23j - test/lm_loss__MAX","Group: 160M_4096step_h72j9v12_240jzdyo - test/lm_loss","Group: 160M_4096step_h72j9v12_240jzdyo - test/lm_loss__MIN","Group: 160M_4096step_h72j9v12_240jzdyo - test/lm_loss__MAX","Group: 160M_3072step_c8flq63u_rk36i799 - test/lm_loss","Group: 160M_3072step_c8flq63u_rk36i799 - test/lm_loss__MIN","Group: 160M_3072step_c8flq63u_rk36i799 - test/lm_loss__MAX","Group: 160M_2048step_7bxgpbz1_79w2nd8o - test/lm_loss","Group: 160M_2048step_7bxgpbz1_79w2nd8o - test/lm_loss__MIN","Group: 160M_2048step_7bxgpbz1_79w2nd8o - test/lm_loss__MAX","Group: 410M_4096step_hbjtxdbk_g1884sv0 - test/lm_loss","Group: 410M_4096step_hbjtxdbk_g1884sv0 - test/lm_loss__MIN","Group: 410M_4096step_hbjtxdbk_g1884sv0 - test/lm_loss__MAX","Group: 160M_1536step_exukgyl2_p2dljv57 - test/lm_loss","Group: 160M_1536step_exukgyl2_p2dljv57 - test/lm_loss__MIN","Group: 160M_1536step_exukgyl2_p2dljv57 - test/lm_loss__MAX","Group: 410M_2048step_idkzqzay_6t27959v - test/lm_loss","Group: 410M_2048step_idkzqzay_6t27959v - test/lm_loss__MIN","Group: 410M_2048step_idkzqzay_6t27959v - test/lm_loss__MAX","Group: 410M_3072step_04oqo18l_hlsk0zaq - test/lm_loss","Group: 410M_3072step_04oqo18l_hlsk0zaq - test/lm_loss__MIN","Group: 410M_3072step_04oqo18l_hlsk0zaq - test/lm_loss__MAX","Group: 1-4B_4096step_wcw97scv_bfwzi5up - test/lm_loss","Group: 1-4B_4096step_wcw97scv_bfwzi5up - test/lm_loss__MIN","Group: 1-4B_4096step_wcw97scv_bfwzi5up - test/lm_loss__MAX"
"1024","","","","","","","","","","2.918820381164551","2.918820381164551","2.918820381164551","","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","","","","","","2.867783784866333","2.867783784866333","2.867783784866333","","","","","","","","","","","","","","","","2.622147798538208","2.622147798538208","2.622147798538208","","","","","","","","",""
"2048","","","","2.829993963241577","2.829993963241577","2.829993963241577","","","","","","","","","","","","","2.578608751296997","2.578608751296997","2.578608751296997","","","","","","","2.47267484664917","2.47267484664917","2.47267484664917","","","","","",""
"3072","2.776883363723755","2.776883363723755","2.776883363723755","","","","","","","","","","","","","2.5175981521606445","2.5175981521606445","2.5175981521606445","","","","","","","","","","","","","2.399395704269409","2.399395704269409","2.399395704269409","","",""
"4096","","","","","","","","","","","","","2.4757590293884277","2.4757590293884277","2.4757590293884277","","","","","","","2.3481383323669434","2.3481383323669434","2.3481383323669434","","","","","","","","","","2.203134059906006","2.203134059906006","2.203134059906006"
