"Step","Group: 70M_3072step_ygztw1g0_mjvhemp4 - test/lm_loss","Group: 70M_3072step_ygztw1g0_mjvhemp4 - test/lm_loss__MIN","Group: 70M_3072step_ygztw1g0_mjvhemp4 - test/lm_loss__MAX","Group: 70M_1024step_rtdmr9pj_fi291nqe - test/lm_loss","Group: 70M_1024step_rtdmr9pj_fi291nqe - test/lm_loss__MIN","Group: 70M_1024step_rtdmr9pj_fi291nqe - test/lm_loss__MAX","Group: 70M_2048step_btkdul27_nlsew2nj - test/lm_loss","Group: 70M_2048step_btkdul27_nlsew2nj - test/lm_loss__MIN","Group: 70M_2048step_btkdul27_nlsew2nj - test/lm_loss__MAX","Group: 70M_1536step_5954d40p_n2746kh4 - test/lm_loss","Group: 70M_1536step_5954d40p_n2746kh4 - test/lm_loss__MIN","Group: 70M_1536step_5954d40p_n2746kh4 - test/lm_loss__MAX","Group: 160M_4096step_99nixaht_s74d7bus - test/lm_loss","Group: 160M_4096step_99nixaht_s74d7bus - test/lm_loss__MIN","Group: 160M_4096step_99nixaht_s74d7bus - test/lm_loss__MAX","Group: 160M_3072step_0gxsven3_qkcq3jlz - test/lm_loss","Group: 160M_3072step_0gxsven3_qkcq3jlz - test/lm_loss__MIN","Group: 160M_3072step_0gxsven3_qkcq3jlz - test/lm_loss__MAX","Group: 160M_1536step_ec4ccvmp_rqlfkkkj - test/lm_loss","Group: 160M_1536step_ec4ccvmp_rqlfkkkj - test/lm_loss__MIN","Group: 160M_1536step_ec4ccvmp_rqlfkkkj - test/lm_loss__MAX","Group: 160M_2048step_xriwusmm_6xxtgspt - test/lm_loss","Group: 160M_2048step_xriwusmm_6xxtgspt - test/lm_loss__MIN","Group: 160M_2048step_xriwusmm_6xxtgspt - test/lm_loss__MAX","Group: 410M_6144step_2tfubpzq_guyxjvyx - test/lm_loss","Group: 410M_6144step_2tfubpzq_guyxjvyx - test/lm_loss__MIN","Group: 410M_6144step_2tfubpzq_guyxjvyx - test/lm_loss__MAX","Group: 410M_4096step_pvy3r7gb_dh0u5fqx - test/lm_loss","Group: 410M_4096step_pvy3r7gb_dh0u5fqx - test/lm_loss__MIN","Group: 410M_4096step_pvy3r7gb_dh0u5fqx - test/lm_loss__MAX","Group: 410M_2048step_7wjb45rq_2ua8r8ml - test/lm_loss","Group: 410M_2048step_7wjb45rq_2ua8r8ml - test/lm_loss__MIN","Group: 410M_2048step_7wjb45rq_2ua8r8ml - test/lm_loss__MAX","Group: 410M_3072step_tkteq2w8_tq5zdrz5 - test/lm_loss","Group: 410M_3072step_tkteq2w8_tq5zdrz5 - test/lm_loss__MIN","Group: 410M_3072step_tkteq2w8_tq5zdrz5 - test/lm_loss__MAX","Group: 1-4B_8192step_z2j3p892_6wwy96vx - test/lm_loss","Group: 1-4B_8192step_z2j3p892_6wwy96vx - test/lm_loss__MIN","Group: 1-4B_8192step_z2j3p892_6wwy96vx - test/lm_loss__MAX","Group: 1-4B_4096step_innzfrn3_0m9ov241 - test/lm_loss","Group: 1-4B_4096step_innzfrn3_0m9ov241 - test/lm_loss__MIN","Group: 1-4B_4096step_innzfrn3_0m9ov241 - test/lm_loss__MAX"
"1024","","","","3.235308885574341","3.235308885574341","3.235308885574341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","","","","","","","","","2.996992588043213","2.996992588043213","2.996992588043213","","","","","","","2.815368413925171","2.815368413925171","2.815368413925171","","","","","","","","","","","","","","","","","","","","",""
"2048","","","","","","","2.9090027809143066","2.9090027809143066","2.9090027809143066","","","","","","","","","","","","","2.7021420001983643","2.7021420001983643","2.7021420001983643","","","","","","","2.7107951641082764","2.7107951641082764","2.7107951641082764","","","","","","","","",""
"3072","2.814107656478882","2.814107656478882","2.814107656478882","","","","","","","","","","","","","2.583817958831787","2.583817958831787","2.583817958831787","","","","","","","","","","","","","","","","2.5259037017822266","2.5259037017822266","2.5259037017822266","","","","","",""
"4096","","","","","","","","","","","","","2.52290415763855","2.52290415763855","2.52290415763855","","","","","","","","","","","","","2.4165923595428467","2.4165923595428467","2.4165923595428467","","","","","","","","","","2.266289472579956","2.266289472579956","2.266289472579956"
"6144","","","","","","","","","","","","","","","","","","","","","","","","","2.3166050910949707","2.3166050910949707","2.3166050910949707","","","","","","","","","","","","","","",""
"8192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.111610174179077","2.111610174179077","2.111610174179077","","",""
